season,fbref_name,fpl_name,fuzzy_score,total_points,review,duplicated
2019-2020,Willian,Willian Borges Da Silva,90,168.0,,
2019-2020,Joe Willock,Joseph Willock,88,41.0,True,
2019-2020,Jack Wilshere,Jack Wilshere,100,8.0,,
2019-2020,Callum Wilson,Callum Wilson,100,116.0,,
2019-2020,Harry Wilson,Harry Wilson,100,91.0,,
2019-2020,Harry Winks,Harry Winks,100,52.0,,
2019-2020,Chris Wood,Chris Wood,100,136.0,,
2019-2020,Granit Xhaka,Granit Xhaka,100,73.0,,
2019-2020,Andriy Yarmolenko,Andriy Yarmolenko,100,70.0,,
2019-2020,DeAndre Yedlin,DeAndre Yedlin,100,26.0,,
2019-2020,Maya Yoshida,Maya Yoshida,100,10.0,,
2019-2020,Ashley Young,Ashley Young,100,24.0,,
2019-2020,Pablo Zabaleta,Pablo Zabaleta,100,10.0,,
2019-2020,Wilfried Zaha,Wilfried Zaha,100,120.0,,
2019-2020,Christoph Zimmermann,Christoph Zimmermann,100,35.0,,
2019-2020,Oleksandr Zinchenko,Oleksandr Zinchenko,100,49.0,,
2019-2020,Richairo Živković,Richairo Zivkovic,88,5.0,True,
2019-2020,Kurt Zouma,Kurt Zouma,100,62.0,,
2019-2020,Tommy Doyle,Tommy Doyle,100,1.0,,
2018-2019,Patrick van Aanholt,Patrick van Aanholt,100,140.0,,
2018-2019,Sergio Agüero,Sergio Agüero,100,201.0,,
2018-2019,Nathan Aké,Nathan Aké,100,120.0,,
2018-2019,Marc Albrighton,Marc Albrighton,100,63.0,,
2018-2019,Toby Alderweireld,Toby Alderweireld,100,107.0,,
2018-2019,Trent Alexander-Arnold,Trent Alexander-Arnold,100,185.0,,
2018-2019,Alisson,Alisson Ramses Becker,90,176.0,,
2018-2019,Dele Alli,Dele Alli,100,94.0,,
2018-2019,Miguel Almirón,Miguel Almirón,100,28.0,,
2018-2019,Marcos Alonso,Marcos Alonso,100,161.0,,
2018-2019,Daniel Amartey,Daniel Amartey,100,15.0,,
2018-2019,Luke Amos,Luke Amos,100,1.0,,
2018-2019,Felipe Anderson,Felipe Anderson Pereira Gomes,90,155.0,,
2018-2019,Florin Andone,Florin Andone,100,38.0,,
2018-2019,Michail Antonio,Michail Antonio,100,118.0,,
2018-2019,Stuart Armstrong,Stuart Armstrong,100,75.0,,
2018-2019,Marko Arnautović,Marko Arnautovic,94,117.0,,
2018-2019,Kepa Arrizabalaga,Kepa Arrizabalaga,100,142.0,,
2018-2019,Harry Arter,Harry Arter,100,48.0,,
2018-2019,Christian Atsu,Christian Atsu,100,55.0,,
2018-2019,Pierre-Emerick Aubameyang,Pierre-Emerick Aubameyang,100,205.0,,
2018-2019,Serge Aurier,Serge Aurier,100,24.0,,
2018-2019,Charlie Austin,Charlie Austin,100,46.0,,
2018-2019,Jordan Ayew,Jordan Ayew,100,46.0,,
2018-2019,Floyd Ayité,Floyd Ayité,100,24.0,,
2018-2019,César Azpilicueta,César Azpilicueta,100,158.0,,
2018-2019,Ryan Babel,Ryan Babel,100,75.0,,
2018-2019,Juninho Bacuna,Juninho Bacuna,100,39.0,,
2018-2019,Leandro Bacuna,Leandro Bacuna,100,17.0,,
2018-2019,Eric Bailly,Eric Bailly,100,16.0,,
2018-2019,Leighton Baines,Leighton Baines,100,7.0,,
2018-2019,Fabián Balbuena,Fabián Balbuena,100,61.0,,
2018-2019,Leon Balogun,Leon Balogun,100,15.0,,
2018-2019,Sol Bamba,Sol Bamba,100,95.0,,
2018-2019,Phil Bardsley,Phil Bardsley,100,33.0,,
2018-2019,Ross Barkley,Ross Barkley,100,79.0,,
2018-2019,Ashley Barnes,Ashley Barnes,100,122.0,,
2018-2019,Harvey Barnes,Harvey Barnes,100,43.0,,
2018-2019,Antonio Barreca,Antonio Barreca,100,1.0,,
2018-2019,Michy Batshuayi,Michy Batshuayi,100,48.0,,
2018-2019,Jan Bednarek,Jan Bednarek,100,49.0,,
2018-2019,Asmir Begović,Asmir Begovic,92,63.0,,
2018-2019,Héctor Bellerín,Héctor Bellerín,100,60.0,,
2018-2019,Joe Bennett,Joe Bennett,100,77.0,,
2018-2019,Ryan Bennett,Ryan Bennett,100,89.0,,
2018-2019,Christian Benteke,Christian Benteke,100,33.0,,
2018-2019,Jóhann Berg Guðmundsson,Johann Berg Gudmundsson,91,92.0,,
2018-2019,Bernard,Bernard Anício Caldeira Duarte,90,88.0,,
2018-2019,Bernardo,Bernardo Fernandes da Silva Junior,100,39.0,,
2018-2019,Ryan Bertrand,Ryan Bertrand,100,56.0,,
2018-2019,Marcus Bettinelli,Marcus Bettinelli,100,15.0,,
2018-2019,Philip Billing,Philip Billing,100,63.0,,
2018-2019,Yves Bissouma,Yves Bissouma,100,43.0,,
2018-2019,Willy Boly,Willy Boly,100,120.0,,
2018-2019,Léo Bonatini,Bonatini Lohner Maia Bonatini,86,10.0,True,
2018-2019,Gaëtan Bong,Gaëtan Bong,100,48.0,,
2018-2019,Artur Boruc,Artur Boruc,100,46.0,,
2018-2019,Robbie Brady,Robbie Brady,100,20.0,,
2018-2019,Miguel Britos,Miguel Britos,100,3.0,,
2018-2019,David Brooks,David Brooks,100,123.0,,
2018-2019,Bruno,Bruno Saltor Grau,100,46.0,,
2018-2019,Joe Bryan,Joe Bryan,100,52.0,,
2018-2019,David Button,David Button,100,15.0,,
2018-2019,Willy Caballero,Willy Caballero,100,13.0,,
2018-2019,Gary Cahill,Gary Cahill,100,2.0,,
2018-2019,Tom Cairney,Tom Cairney,100,71.0,,
2018-2019,Dominic Calvert-Lewin,Dominic Calvert-Lewin,100,92.0,,
2018-2019,Rafael Camacho,Rafael Camacho,100,1.0,,
2018-2019,Víctor Camarasa,Víctor Camarasa,100,106.0,,
2018-2019,Étienne Capoue,Etienne Capoue,93,79.0,,
2018-2019,Andy Carroll,Andy Carroll,100,12.0,,
2018-2019,Jonny Castro,Jonathan Castro Otto,100,103.0,,
2018-2019,Craig Cathcart,Craig Cathcart,100,93.0,,
2018-2019,Ivan Cavaleiro,Ivan Cavaleiro,100,48.0,,
2018-2019,Petr Čech,Petr Cech,89,24.0,True,
2018-2019,Nathaniel Chalobah,Nathaniel Chalobah,100,10.0,,
2018-2019,Calum Chambers,Calum Chambers,100,60.0,,
2018-2019,Ben Chilwell,Ben Chilwell,100,118.0,,
2018-2019,Tahith Chong,Tahith Chong,100,2.0,,
2018-2019,Hamza Choudhury,Hamza Choudhury,100,20.0,,
2018-2019,Andreas Christensen,Andreas Christensen,100,22.0,,
2018-2019,Cyrus Christie,Cyrus Christie,100,42.0,,
2018-2019,Ibrahima Cissé,Ibrahima Cissé,100,4.0,,
2018-2019,Ciaran Clark,Ciaran Clark,100,42.0,,
2018-2019,Tom Cleverley,Tom Cleverley,100,25.0,,
2018-2019,Nathaniel Clyne,Nathaniel Clyne,100,34.0,,
2018-2019,Conor Coady,Conor Coady,100,94.0,,
2018-2019,Joel Coleman,Joel Coleman,100,2.0,,
2018-2019,Séamus Coleman,Seamus Coleman,93,125.0,,
2018-2019,Lewis Cook,Lewis Cook,100,22.0,,
2018-2019,Steve Cook,Steve Cook,100,85.0,,
2018-2019,Jack Cork,Jack Cork,100,87.0,,
2018-2019,Hélder Costa,Hélder Costa,100,52.0,,
2018-2019,Aaron Cresswell,Aaron Cresswell,100,34.0,,
2018-2019,Peter Crouch,Peter Crouch,100,8.0,,
2018-2019,Greg Cunningham,Greg Cunninghamm,97,9.0,,
2018-2019,Diogo Dalot,José Diogo Dalot Teixeira,90,27.0,,
2018-2019,Matty Daly,Matthew Daly,82,2.0,True,
2018-2019,Loïc Damour,Loïc Damour,100,2.0,,
2018-2019,Charlie Daniels,Charlie Daniels,100,44.0,,
2018-2019,Danilo,Danilo Luiz da Silva,90,46.0,,
2018-2019,Scott Dann,Scott Dann,100,23.0,,
2018-2019,Matteo Darmian,Matteo Darmian,100,14.0,,
2018-2019,Ben Davies,Ben Davies,100,66.0,,
2018-2019,Tom Davies,Tom Davies,100,26.0,,
2018-2019,Steven Davis,Steven Davis,100,9.0,,
2018-2019,Kevin De Bruyne,Kevin De Bruyne,100,59.0,,
2018-2019,Troy Deeney,Troy Deeney,100,116.0,,
2018-2019,Jermain Defoe,Jermain Defoe,100,4.0,,
2018-2019,Steven Defour,Steven Defour,100,10.0,,
2018-2019,Fabian Delph,Fabian Delph,100,29.0,,
2018-2019,Mousa Dembélé,Mousa Dembélé,100,14.0,,
2018-2019,Leander Dendoncker,Leander Dendoncker,100,48.0,,
2018-2019,Laurent Depoitre,Laurent Depoitre,100,34.0,,
2018-2019,Gerard Deulofeu,Gerard Deulofeu,100,133.0,,
2018-2019,Fousseni Diabaté,Fousseni Diabaté,100,1.0,,
2018-2019,Adama Diakhaby,Adama Diakhaby,100,19.0,,
2018-2019,Mohamed Diamé,Mohamed Diamé,100,56.0,,
2018-2019,Grady Diangana,Grady Diangana,100,25.0,,
2018-2019,Eric Dier,Eric Dier,100,56.0,,
2018-2019,Lucas Digne,Lucas Digne,100,158.0,,
2018-2019,Issa Diop,Issa Diop,100,87.0,,
2018-2019,Matt Doherty,Matt Doherty,100,144.0,,
2018-2019,Abdoulaye Doucouré,Abdoulaye Doucouré,100,124.0,,
2018-2019,Luke Dreher,Luke Dreher,100,1.0,,
2018-2019,Martin Dúbravka,Martin Dubravka,93,131.0,,
2018-2019,Shane Duffy,Shane Duffy,100,115.0,,
2018-2019,Demeaco Duhaney,Demeaco Duhaney,100,1.0,,
2018-2019,Paul Dummett,Paul Dummett,100,67.0,,
2018-2019,Lewis Dunk,Lewis Dunk,100,91.0,,
2018-2019,Erik Durm,Erik Durm,100,49.0,,
2018-2019,Bruno Ecuele Manga,Bruno Ecuele Manga,100,97.0,,
2018-2019,Ederson,Ederson Santana de Moraes,90,169.0,,
2018-2019,Harvey Elliott,Harvey Elliott,100,2.0,,
2018-2019,Mohamed Elneny,Mohamed Elneny,100,10.0,,
2018-2019,Mohamed Elyounoussi,Mohamed Elyounoussi,100,28.0,,
2018-2019,Christian Eriksen,Christian Eriksen,100,161.0,,
2018-2019,Neil Etheridge,Neil Etheridge,100,154.0,,
2018-2019,Jonny Evans,Jonny Evans,100,77.0,,
2018-2019,Łukasz Fabiański,Lukasz Fabianski,88,143.0,True,
2018-2019,Fabinho,Fabio Henrique Tavares,100,65.0,,
2018-2019,Cesc Fàbregas,Cesc Fàbregas,100,6.0,,
2018-2019,Fabricio,Fabricio Agosto Ramírez,90,8.0,,
2018-2019,Marouane Fellaini,Marouane Fellaini,100,26.0,,
2018-2019,Kiko Femenía,Francisco Femenía Far,86,66.0,True,
2018-2019,Federico Fernández,Federico Fernández,100,47.0,,
2018-2019,Fernandinho,Fernando Luiz Rosa,100,79.0,,
2018-2019,Roberto Firmino,Roberto Firmino,100,160.0,,
2018-2019,Phil Foden,Phil Foden,100,25.0,,
2018-2019,Fraser Forster,Fraser Forster,100,2.0,,
2018-2019,Ben Foster,Ben Foster,100,129.0,,
2018-2019,Timothy Fosu-Mensah,Timothy Fosu-Mensah,100,14.0,,
2018-2019,Juan Foyth,Juan Foyth,100,35.0,,
2018-2019,Simon Francis,Simon Francis,100,40.0,,
2018-2019,Ryan Fraser,Ryan Fraser,100,181.0,,
2018-2019,Fred,Frederico Rodrigues de Paula Santos,100,40.0,,
2018-2019,Ryan Fredericks,Ryan Fredericks,100,38.0,,
2018-2019,Christian Fuchs,Christian Fuchs,100,3.0,,
2018-2019,Manolo Gabbiadini,Manolo Gabbiadini,100,23.0,,
2018-2019,Sam Gallagher,Sam Gallagher,100,4.0,,
2018-2019,Idrissa Gana Gueye,Idrissa Gueye,95,78.0,,
2018-2019,James Garner,James Garner,100,1.0,,
2018-2019,Paulo Gazzaniga,Paulo Gazzaniga,100,13.0,,
2018-2019,David de Gea,David De Gea,100,120.0,,
2018-2019,Rachid Ghezzal,Rachid Ghezzal,100,28.0,,
2018-2019,Morgan Gibbs-White,Morgan Gibbs-White,100,37.0,,
2018-2019,Ben Gibson,Ben Gibson,100,6.0,,
2018-2019,Olivier Giroud,Olivier Giroud,100,55.0,,
2018-2019,André Gomes,André Filipe Tavares Gomes,86,64.0,True,
2018-2019,Angel Gomes,Angel Gomes,100,2.0,,
2018-2019,Joe Gomez,Joseph Gomez,86,55.0,True,
2018-2019,Jon Gorenc Stanković,Jon Gorenc Stankovic,95,24.0,,
2018-2019,Dan Gosling,Dan Gosling,100,54.0,,
2018-2019,Karlan Grant,Karlan Grant,100,45.0,,
2018-2019,Andre Gray,Andre Gray,100,83.0,,
2018-2019,Demarai Gray,Demarai Gray,100,84.0,,
2018-2019,Mason Greenwood,Mason Greenwood,100,4.0,,
2018-2019,Pascal Groß,Pascal Groß,100,80.0,,
2018-2019,Vicente Guaita,Vicente Guaita,100,81.0,,
2018-2019,Mattéo Guendouzi,Matteo Guendouzi,94,47.0,,
2018-2019,İlkay Gündoğan,Ilkay Gündogan,93,113.0,,
2018-2019,Angus Gunn,Angus Gunn,100,47.0,,
2018-2019,Aron Gunnarsson,Aron Gunnarsson,100,65.0,,
2018-2019,Florent Hadergjonaj,Florent Hadergjonaj,100,50.0,,
2018-2019,Ben Hamer,Ben Hamer,100,9.0,,
2018-2019,Kadeem Harris,Kadeem Harris,100,24.0,,
2018-2019,Joe Hart,Joe Hart,100,69.0,,
2018-2019,Isaac Hayden,Isaac Hayden,100,69.0,,
2018-2019,Eden Hazard,Eden Hazard,100,238.0,,
2018-2019,Rhys Healey,Rhys Healey,100,3.0,,
2018-2019,Tom Heaton,Tom Heaton,100,58.0,,
2018-2019,Jordan Henderson,Jordan Henderson,100,76.0,,
2018-2019,Jeff Hendrick,Jeff Hendrick,100,73.0,,
2018-2019,Wayne Hennessey,Wayne Hennessey,100,67.0,,
2018-2019,Javier Hernández,Javier Hernández Balcázar,90,86.0,,
2018-2019,Ander Herrera,Ander Herrera,100,62.0,,
2018-2019,Son Heung-min,Heung-Min Son,95,159.0,,
2018-2019,Gonzalo Higuaín,Gonzalo Higuaín,100,53.0,,
2018-2019,Wesley Hoedt,Wesley Hoedt,100,29.0,,
2018-2019,Jonathan Hogg,Jonathan Hogg,100,54.0,,
2018-2019,Junior Hoilett,David Junior Hoilett,95,82.0,,
2018-2019,Rob Holding,Rob Holding,100,24.0,,
2018-2019,José Holebas,José Holebas,100,93.0,,
2018-2019,Mason Holgate,Mason Holgate,100,5.0,,
2018-2019,Callum Hudson-Odoi,Callum Hudson-Odoi,100,18.0,,
2018-2019,Will Hughes,Will Hughes,100,87.0,,
2018-2019,Emerson Hyndman,Emerson Hyndman,100,1.0,,
2018-2019,Pierre Højbjerg,Pierre-Emile Højbjerg,95,90.0,,
2018-2019,Jordon Ibe,Jordon Ibe,100,33.0,,
2018-2019,Vicente Iborra,Vicente Iborra,100,9.0,,
2018-2019,Kelechi Iheanacho,Kelechi Iheanacho,100,58.0,,
2018-2019,Danny Ings,Danny Ings,100,90.0,,
2018-2019,Alex Iwobi,Alex Iwobi,100,99.0,,
2018-2019,José Izquierdo,José Izquierdo,100,31.0,,
2018-2019,Phil Jagielka,Phil Jagielka,100,22.0,,
2018-2019,Alireza Jahanbakhsh,Alireza Jahanbakhsh,100,33.0,,
2018-2019,Daryl Janmaat,Daryl Janmaat,100,50.0,,
2018-2019,Vincent Janssen,Vincent Janssen,100,3.0,,
2018-2019,Carl Jenkinson,Carl Jenkinson,100,4.0,,
2018-2019,Gabriel Jesus,Gabriel Fernando de Jesus,100,79.0,,
2018-2019,Raúl Jiménez,Raúl Jiménez,100,181.0,,
2018-2019,Stefan Johansen,Stefan Johansen,100,11.0,,
2018-2019,Ben Johnson,Ben Johnson,100,2.0,,
2018-2019,Tyreke Johnson,Tyreke Johnson,100,1.0,,
2018-2019,Phil Jones,Phil Jones,100,43.0,,
2018-2019,Jorginho,Jorge Luiz Frello Filho,100,96.0,,
2018-2019,Joselu,Jose Luis Mato Sanmartín,75,30.0,True,
2018-2019,Diogo Jota,Diogo Teixeira da Silva,100,139.0,,
2018-2019,Mathias Jørgensen,Mathias Jorgensen,94,67.0,,
2018-2019,Christian Kabasele,Christian Kabasele,100,36.0,,
2018-2019,Elias Kachunga,Elias Kachunga,100,29.0,,
2018-2019,Aboubakar Kamara,Aboubakar Kamara,100,28.0,,
2018-2019,Harry Kane,Harry Kane,100,160.0,,
2018-2019,N'Golo Kanté,N'Golo Kanté,100,116.0,,
2018-2019,Beram Kayal,Beram Kayal,100,36.0,,
2018-2019,Michael Keane,Michael Keane,100,129.0,,
2018-2019,Neeskens Kebano,Neeskens Kebano,100,7.0,,
2018-2019,Naby Keïta,Naby Keita,90,67.0,,
2018-2019,Martin Kelly,Martin Kelly,100,26.0,,
2018-2019,Kenedy,Robert Kenedy Nunes do Nascimento,90,50.0,,
2018-2019,Jonjoe Kenny,Jonjoe Kenny,100,19.0,,
2018-2019,Max Kilman,Max Kilman,100,1.0,,
2018-2019,Joshua King,Joshua King,100,141.0,,
2018-2019,Anthony Knockaert,Anthony Knockaert,100,74.0,,
2018-2019,Sead Kolašinac,Sead Kolasinac,93,81.0,,
2018-2019,Vincent Kompany,Vincent Kompany,100,58.0,,
2018-2019,Terence Kongolo,Terence Kongolo,100,60.0,,
2018-2019,Laurent Koscielny,Laurent Koscielny,100,62.0,,
2018-2019,Cheikhou Kouyaté,Cheikhou Kouyaté,100,67.0,,
2018-2019,Mateo Kovačić,Mateo Kovačić,100,64.0,,
2018-2019,Rajiv van La Parra,Rajiv van La Parra,100,10.0,,
2018-2019,Alexandre Lacazette,Alexandre Lacazette,100,166.0,,
2018-2019,Adam Lallana,Adam Lallana,100,23.0,,
2018-2019,Érik Lamela,Erik Lamela,91,67.0,,
2018-2019,Manuel Lanzini,Manuel Lanzini,100,31.0,,
2018-2019,Aymeric Laporte,Aymeric Laporte,100,177.0,,
2018-2019,Jamaal Lascelles,Jamaal Lascelles,100,95.0,,
2018-2019,Maxime Le Marchand,Maxime Le Marchand,100,38.0,,
2018-2019,Florian Lejeune,Florian Lejeune,100,35.0,,
2018-2019,Mario Lemina,Mario Lemina,100,50.0,,
2018-2019,Aaron Lennon,Aaron Lennon,100,41.0,,
2018-2019,Bernd Leno,Bernd Leno,100,106.0,,
2018-2019,Jefferson Lerma,Jefferson Lerma,100,75.0,,
2018-2019,Stephan Lichtsteiner,Stephan Lichtsteiner,100,14.0,,
2018-2019,Victor Lindelöf,Victor Lindelöf,100,85.0,,
2018-2019,Jesse Lingard,Jesse Lingard,100,78.0,,
2018-2019,Fernando Llorente,Fernando Llorente,100,41.0,,
2018-2019,Hugo Lloris,Hugo Lloris,100,145.0,,
2018-2019,Jürgen Locadia,Jürgen Locadia,100,52.0,,
2018-2019,Ruben Loftus-Cheek,Ruben Loftus-Cheek,100,79.0,,
2018-2019,Kevin Long,Kevin Long,100,16.0,,
2018-2019,Shane Long,Shane Long,100,66.0,,
2018-2019,Sean Longstaff,Sean Longstaff,100,26.0,,
2018-2019,Ademola Lookman,Ademola Lookman,100,34.0,,
2018-2019,Jonas Lössl,Jonas Lössl,100,99.0,,
2018-2019,Dejan Lovren,Dejan Lovren,100,63.0,,
2018-2019,Chris Löwe,Chris Löwe,100,49.0,,
2018-2019,Matthew Lowton,Matthew Lowton,100,34.0,,
2018-2019,David Luiz,David Luiz Moreira Marinho,90,164.0,,
2018-2019,Romelu Lukaku,Romelu Lukaku,100,115.0,,
2018-2019,James Maddison,James Maddison,100,137.0,,
2018-2019,Gary Madine,Gary Madine,100,5.0,,
2018-2019,Harry Maguire,Harry Maguire,100,92.0,,
2018-2019,Riyad Mahrez,Riyad Mahrez,100,102.0,,
2018-2019,Ainsley Maitland-Niles,Ainsley Maitland-Niles,100,34.0,,
2018-2019,Sadio Mané,Sadio Mané,100,231.0,,
2018-2019,Javier Manquillo,Javier Manquillo,100,53.0,,
2018-2019,Solly March,Solomon March,75,94.0,True,
2018-2019,Adrian Mariappa,Adrian Mariappa,100,57.0,,
2018-2019,Lazar Marković,Lazar Markovic,93,1.0,,
2018-2019,Anthony Martial,Anthony Martial,100,122.0,,
2018-2019,Adam Masina,Adam Masina,100,26.0,,
2018-2019,Arthur Masuaku,Arthur Masuaku,100,49.0,,
2018-2019,Juan Mata,Juan Mata,100,70.0,,
2018-2019,Nemanja Matić,Nemanja Matic,92,59.0,,
2018-2019,Joël Matip,Joel Matip,90,83.0,,
2018-2019,Konstantinos Mavropanos,Konstantinos Mavropanos,100,3.0,,
2018-2019,Alfie Mawson,Alfie Mawson,100,19.0,,
2018-2019,Isaac Mbenza,Isaac Mbenza,100,38.0,,
2018-2019,James McArthur,James McArthur,100,121.0,,
2018-2019,Alex McCarthy,Alex McCarthy,100,73.0,,
2018-2019,James McCarthy,James McCarthy,100,1.0,,
2018-2019,Kevin McDonald,Kevin McDonald,100,17.0,,
2018-2019,Dwight McNeil,Dwight McNeil,100,75.0,,
2018-2019,Scott McTominay,Scott McTominay,100,38.0,,
2018-2019,Ben Mee,Ben Mee,100,81.0,,
2018-2019,Nathaniel Mendez-Laing,Nathaniel Mendez-Laing,100,63.0,,
2018-2019,Benjamin Mendy,Benjamin Mendy,100,59.0,,
2018-2019,Nampalys Mendy,Nampalys Mendy,100,58.0,,
2018-2019,Chris Mepham,Chris Mepham,100,27.0,,
2018-2019,Max Meyer,Max Meyer,100,60.0,,
2018-2019,Luka Milivojević,Luka Milivojevic,94,166.0,,
2018-2019,James Milner,James Milner,100,101.0,,
2018-2019,Yerry Mina,Yerry Mina,100,36.0,,
2018-2019,Tyrone Mings,Tyrone Mings,100,5.0,,
2018-2019,Aleksandar Mitrović,Aleksandar Mitrovic,95,134.0,,
2018-2019,Henrikh Mkhitaryan,Henrikh Mkhitaryan,100,98.0,,
2018-2019,Nacho Monreal,Nacho Monreal,100,77.0,,
2018-2019,Martín Montoya,Martín Montoya,100,45.0,,
2018-2019,Aaron Mooy,Aaron Mooy,100,76.0,,
2018-2019,Álvaro Morata,Álvaro Morata,100,46.0,,
2018-2019,Alberto Moreno,Alberto Moreno,100,4.0,,
2018-2019,Wes Morgan,Wes Morgan,100,76.0,,
2018-2019,Sean Morrison,Sean Morrison,100,97.0,,
2018-2019,Victor Moses,Victor Moses,100,2.0,,
2018-2019,Steve Mounié,Steve Mounie,92,69.0,,
2018-2019,Lucas Moura,Lucas Rodrigues Moura da Silva,100,131.0,,
2018-2019,Lys Mousset,Lys Mousset,100,28.0,,
2018-2019,João Moutinho,João Filipe Iria Santos Moutinho,86,119.0,True,
2018-2019,Jacob Murphy,Jacob Murphy,100,16.0,,
2018-2019,Josh Murphy,Josh Murphy,100,76.0,,
2018-2019,Glenn Murray,Glenn Murray,100,129.0,,
2018-2019,Shkodran Mustafi,Shkodran Mustafi,100,80.0,,
2018-2019,Yoshinori Mutō,Yoshinori Muto,93,24.0,,
2018-2019,Georges-Kévin N'Koudou,Georges-Kévin Nkoudou,98,4.0,,
2018-2019,Samir Nasri,Samir Nasri,100,14.0,,
2018-2019,Marc Navarro,Marc Navarro,100,2.0,,
2018-2019,Wilfred Ndidi,Wilfred Ndidi,100,89.0,,
2018-2019,Rúben Neves,Rúben da Silva Neves,100,104.0,,
2018-2019,Oumar Niasse,Oumar Niasse,100,30.0,,
2018-2019,Eddie Nketiah,Edward Nketiah,81,10.0,True,
2018-2019,Mark Noble,Mark Noble,100,99.0,,
2018-2019,Håvard Nordtveit,Håvard Nordtveit,100,8.0,,
2018-2019,Will Norris,Will Norris,100,1.0,,
2018-2019,Michael Obafemi,Michael Obafemi,100,13.0,,
2018-2019,Pedro Obiang,Pedro Obiang,100,43.0,,
2018-2019,Denis Odoi,Denis Odoi,100,44.0,,
2018-2019,Angelo Ogbonna,Angelo Ogbonna,100,48.0,,
2018-2019,Stefano Okaka,Stefano Okaka,100,1.0,,
2018-2019,Shinji Okazaki,Shinji Okazaki,100,25.0,,
2018-2019,Divock Origi,Divock Origi,100,32.0,,
2018-2019,Nicolás Otamendi,Nicolás Otamendi,100,70.0,,
2018-2019,Alex Oxlade-Chamberlain,Alex Oxlade-Chamberlain,100,2.0,,
2018-2019,Mesut Özil,Mesut Özil,100,89.0,,
2018-2019,Emerson Palmieri,Emerson Palmieri dos Santos,90,22.0,,
2018-2019,Sokratis Papastathopoulos,Sokratis Papastathopoulos,100,64.0,,
2018-2019,Callum Paterson,Callum Paterson,100,80.0,,
2018-2019,Rui Patrício,Rui Pedro dos Santos Patrício,100,118.0,,
2018-2019,Pedro,Pedro Rodríguez Ledesma,100,112.0,,
2018-2019,Lee Peltier,Lee Peltier,100,43.0,,
2018-2019,Andreas Pereira,Andreas Pereira,100,27.0,,
2018-2019,Ricardo Pereira,Ricardo Barbosa Pereira,100,146.0,,
2018-2019,Roberto Pereyra,Roberto Pereyra,100,122.0,,
2018-2019,Ayoze Pérez,Ayoze Pérez,100,141.0,,
2018-2019,Lucas Pérez,Lucas Pérez,100,33.0,,
2018-2019,Jordan Pickford,Jordan Pickford,100,161.0,,
2018-2019,Paul Pogba,Paul Pogba,100,179.0,,
2018-2019,Alex Pritchard,Alex Pritchard,100,69.0,,
2018-2019,Sebastian Prödl,Sebastian Prödl,100,1.0,,
2018-2019,Davy Pröpper,Davy Pröpper,100,72.0,,
2018-2019,Jason Puncheon,Jason Puncheon,100,15.0,,
2018-2019,Collin Quaner,Collin Quaner,100,2.0,,
2018-2019,Domingos Quina,Domingos Quina,100,17.0,,
2018-2019,Joe Ralls,Joe Ralls,100,45.0,,
2018-2019,Aaron Ramsey,Aaron Ramsey,100,91.0,,
2018-2019,Kayne Ramsey,Kayne Ramsay,92,1.0,,
2018-2019,Marcus Rashford,Marcus Rashford,100,128.0,,
2018-2019,Tim Ream,Tim Ream,100,50.0,,
2018-2019,Nathan Redmond,Nathan Redmond,100,137.0,,
2018-2019,Bobby Reid,Bobby Reid,100,80.0,,
2018-2019,Declan Rice,Declan Rice,100,92.0,,
2018-2019,Jazz Richards,Ashley Darel Jazz Richards,90,2.0,,
2018-2019,Richarlison,Richarlison de Andrade,90,153.0,,
2018-2019,Diego Rico,Diego Rico,100,8.0,,
2018-2019,Sergio Rico,Sergio Rico,100,86.0,,
2018-2019,Matt Ritchie,Matt Ritchie,100,110.0,,
2018-2019,Andrew Robertson,Andrew Robertson,100,213.0,,
2018-2019,Marcos Rojo,Marcos Rojo,100,2.0,,
2018-2019,Oriol Romeu,Oriol Romeu Vidal,90,55.0,,
2018-2019,Salomón Rondón,Salomón Rondón,100,148.0,,
2018-2019,Danny Rose,Danny Rose,100,86.0,,
2018-2019,Aaron Rowe,Aaron Rowe,100,2.0,,
2018-2019,John Ruddy,John Ruddy,100,7.0,,
2018-2019,Antonio Rüdiger,Antonio Rüdiger,100,116.0,,
2018-2019,Mathew Ryan,Mathew Ryan,100,104.0,,
2018-2019,Abdelhamid Sabiri,Abdelhamid Sabiri,100,2.0,,
2018-2019,Romain Saïss,Romain Saïss,100,47.0,,
2018-2019,Bukayo Saka,Bukayo Saka,100,1.0,,
2018-2019,Mamadou Sakho,Mamadou Sakho,100,88.0,,
2018-2019,Bakary Sako,Bakary Sako,100,4.0,,
2018-2019,Mohamed Salah,Mohamed Salah,100,259.0,,
2018-2019,Alexis Sánchez,Alexis Sánchez,100,47.0,,
2018-2019,Carlos Sánchez,Carlos Sánchez,100,9.0,,
2018-2019,Davinson Sánchez,Davinson Sánchez,100,78.0,,
2018-2019,Leroy Sané,Leroy Sané,100,156.0,,
2018-2019,Fabian Schär,Fabian Schär,100,93.0,,
2018-2019,Christopher Schindler,Christopher Schindler,100,76.0,,
2018-2019,Jeffrey Schlupp,Jeffrey Schlupp,100,91.0,,
2018-2019,Kasper Schmeichel,Kasper Schmeichel,100,120.0,,
2018-2019,Morgan Schneiderlin,Morgan Schneiderlin,100,28.0,,
